encounter_id,timestamp,previous_state,current_state,emitted,event,rationale
enc-9d95e2c6177f,2026-08-03T12:00:00Z,safe,safe,False,no-transition,encounter geometry classified as head-on | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold | alert state transitioned from safe to safe | state event: no-transition
enc-a5bf98d84b8f,2026-08-03T12:00:00Z,safe,safe,False,no-transition,encounter geometry classified as crossing-starboard | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the critical threshold | alert state transitioned from safe to safe | state event: no-transition
enc-f69c22f254bd,2026-08-03T12:00:00Z,safe,safe,False,no-transition,encounter geometry classified as overtaking | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold | alert state transitioned from safe to safe | state event: no-transition
enc-9d95e2c6177f,2026-08-03T12:00:30Z,safe,critical,True,opened,encounter geometry classified as head-on | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold | alert state transitioned from safe to critical | state event: opened
enc-a5bf98d84b8f,2026-08-03T12:00:30Z,safe,critical,True,opened,encounter geometry classified as crossing-starboard | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the critical threshold | alert state transitioned from safe to critical | state event: opened
enc-f69c22f254bd,2026-08-03T12:00:30Z,safe,critical,True,opened,encounter geometry classified as overtaking | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold | alert state transitioned from safe to critical | state event: opened
enc-9d95e2c6177f,2026-08-03T12:01:00Z,critical,critical,False,suppressed-cooldown,encounter geometry classified as head-on | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold | alert state transitioned from critical to critical | state event: suppressed-cooldown
enc-a5bf98d84b8f,2026-08-03T12:01:00Z,critical,critical,False,suppressed-cooldown,encounter geometry classified as crossing-starboard | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the critical threshold | alert state transitioned from critical to critical | state event: suppressed-cooldown
enc-f69c22f254bd,2026-08-03T12:01:00Z,critical,critical,False,suppressed-cooldown,encounter geometry classified as overtaking | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold | alert state transitioned from critical to critical | state event: suppressed-cooldown
enc-9d95e2c6177f,2026-08-03T12:01:30Z,critical,critical,False,suppressed-cooldown,encounter geometry classified as head-on | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold | alert state transitioned from critical to critical | state event: suppressed-cooldown
enc-a5bf98d84b8f,2026-08-03T12:01:30Z,critical,critical,False,suppressed-cooldown,encounter geometry classified as crossing-starboard | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the critical threshold | alert state transitioned from critical to critical | state event: suppressed-cooldown
enc-f69c22f254bd,2026-08-03T12:01:30Z,critical,critical,False,suppressed-cooldown,encounter geometry classified as overtaking | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold | alert state transitioned from critical to critical | state event: suppressed-cooldown
enc-9d95e2c6177f,2026-08-03T12:02:00Z,critical,critical,False,suppressed-cooldown,encounter geometry classified as head-on | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold | alert state transitioned from critical to critical | state event: suppressed-cooldown
enc-a5bf98d84b8f,2026-08-03T12:02:00Z,critical,critical,False,suppressed-cooldown,encounter geometry classified as crossing-starboard | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the critical threshold | alert state transitioned from critical to critical | state event: suppressed-cooldown
enc-f69c22f254bd,2026-08-03T12:02:00Z,critical,critical,False,suppressed-cooldown,encounter geometry classified as overtaking | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold | alert state transitioned from critical to critical | state event: suppressed-cooldown
enc-9d95e2c6177f,2026-08-03T12:02:30Z,critical,critical,False,no-transition,encounter geometry classified as head-on | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold | alert state transitioned from critical to critical | state event: no-transition
enc-a5bf98d84b8f,2026-08-03T12:02:30Z,critical,critical,False,no-transition,encounter geometry classified as crossing-starboard | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the critical threshold | alert state transitioned from critical to critical | state event: no-transition
enc-f69c22f254bd,2026-08-03T12:02:30Z,critical,critical,False,no-transition,encounter geometry classified as overtaking | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold | alert state transitioned from critical to critical | state event: no-transition
enc-9d95e2c6177f,2026-08-03T12:03:00Z,critical,critical,False,no-transition,encounter geometry classified as head-on | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold | alert state transitioned from critical to critical | state event: no-transition
enc-a5bf98d84b8f,2026-08-03T12:03:00Z,critical,critical,False,no-transition,encounter geometry classified as crossing-starboard | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the critical threshold | alert state transitioned from critical to critical | state event: no-transition
enc-f69c22f254bd,2026-08-03T12:03:00Z,critical,critical,False,no-transition,encounter geometry classified as overtaking | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold | alert state transitioned from critical to critical | state event: no-transition
enc-9d95e2c6177f,2026-08-03T12:03:30Z,critical,critical,False,no-transition,encounter geometry classified as diverging | relative motion is not converging | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the warning threshold | alert state transitioned from critical to critical | state event: no-transition
enc-a5bf98d84b8f,2026-08-03T12:03:30Z,critical,critical,False,no-transition,encounter geometry classified as crossing-starboard | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the critical threshold | alert state transitioned from critical to critical | state event: no-transition
enc-f69c22f254bd,2026-08-03T12:03:30Z,critical,critical,False,no-transition,encounter geometry classified as overtaking | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold | alert state transitioned from critical to critical | state event: no-transition
enc-9d95e2c6177f,2026-08-03T12:04:00Z,critical,critical,False,no-transition,encounter geometry classified as diverging | relative motion is not converging | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | dominant normalized risk component is range (0.870) | alert state transitioned from critical to critical | state event: no-transition
enc-a5bf98d84b8f,2026-08-03T12:04:00Z,critical,critical,False,no-transition,encounter geometry classified as diverging | relative motion is not converging | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the warning threshold | alert state transitioned from critical to critical | state event: no-transition
enc-f69c22f254bd,2026-08-03T12:04:00Z,critical,critical,False,no-transition,encounter geometry classified as diverging | relative motion is not converging | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the warning threshold | alert state transitioned from critical to critical | state event: no-transition
enc-9d95e2c6177f,2026-08-03T12:04:30Z,critical,resolving,False,resolving,encounter geometry classified as diverging | relative motion is not converging | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | dominant normalized risk component is range (0.787) | alert state transitioned from critical to resolving | state event: resolving
